title,releaseDate,retailPrice
Air Force 1 Low Clot Rose Gold Silk (Regular Box),2020-01-25 23:59:59,250.0
adidas Dame 6 Stone Cold Steve Austin,2020-01-25 23:59:59,110.0
Jordan 9 Retro Racer Blue,2020-01-25 23:59:59,190.0
adidas Yeezy Boost 350 V2 Yeshaya (Non-Reflective),2020-01-25 23:59:59,220.0
adidas Yeezy Boost 350 V2 Yeshaya (Kids),2020-01-25 23:59:59,160.0
adidas Yeezy Boost 350 V2 Yeshaya (Infant),2020-01-25 23:59:59,140.0
Air Max 1 Chinatown New York (2020),2020-01-25 23:59:59,130.0
Air VaporMax Flyknit 3 Light Violet Noble Red (W),2020-01-25 23:59:59,200.0
Air Force 1 Low Clot Rose Gold Silk (Special Box),2020-01-25 23:59:59,250.0
Air VaporMax Flyknit 3 Vivid Purple (W),2020-01-25 23:59:59,200.0
Air VaporMax Flyknit 3 Track Red Magic Flamingo (W),2020-01-25 23:59:59,200.0
Air Force 1 Low Crayon White Multi (PS),2020-01-25 23:59:59,68.0
Air Max 98 Track Red Magic Flamingo (W),2020-01-25 23:59:59,170.0
Air VaporMax Plus Easter 2020 (W),2020-01-25 23:59:59,200.0
Air Force 1 Low Crayon White Multi (TD),2020-01-25 23:59:59,55.0
Air Max 97 Easter 2020 (W),2020-01-25 23:59:59,170.0
Puma Future Rider Chinatown Market White,2020-01-25 23:59:59,120.0
Puma Future Rider Chinatown Market Black,2020-01-25 23:59:59,120.0
New Balance X Racer Shoe Palace YOTR (2020),2020-01-25 23:59:59,110.0
Jordan Air Max 200 XX Chinese New Year 2020 (W),2020-01-25 23:59:59,125.0
Asics Gel-DS Trainer Pensole,2020-01-25 23:59:59,120.0
Asics Gel-Kayano Trainer OG Pensole,2020-01-25 23:59:59,130.0
LeBron 17 Infrared (GS),2020-01-24 23:59:59,160.0
Nike PG 4 Black Light Smoke Grey,2020-01-24 23:59:59,110.0
LeBron 17 Infrared (TD),2020-01-24 23:59:59,60.0
LeBron 17 Infrared (PS),2020-01-24 23:59:59,95.0
LeBron 17 Infrared,2020-01-24 23:59:59,200.0
Nike ACG Terra Antarktik GORE-TEX Black Midnight Turquoise,2020-01-24 23:59:59,220.0
Jordan XXXIV Paris,2020-01-24 23:59:59,200.0
Nike ACG Terra Antarktik GORE-TEX Juniper Fog,2020-01-24 23:59:59,220.0
Nike ACG Terra Antarktik GORE-TEX Summit White,2020-01-24 23:59:59,220.0
Nike Drop-Type Mid Dusty Olive,2020-01-24 23:59:59,85.0
adidas Yeezy Boost 350 V2 Yeshaya (Reflective),2020-01-24 23:59:59,250.0
adidas Amsterdam Dust Rust,2020-01-24 23:59:59,110.0
adidas Continental 80 Chinese New Year (2020),2020-01-24 23:59:59,100.0
adidas Sambarose Chinese New Year 2020 (W),2020-01-24 23:59:59,100.0
adidas Type O1-S OAMC Flesh,2020-01-23 23:59:59,280.0
adidas Type O-2R OAMC Off-White,2020-01-23 23:59:59,250.0
adidas Type O-2L OAMC Off-White,2020-01-23 23:59:59,250.0
adidas Type O-2R OAMC Medical Green,2020-01-23 23:59:59,250.0
Jordan 13 Retro Chinese New Year 2020 (GS),2020-01-23 23:59:59,150.0
Jordan 13 Retro Chinese New Year (2020),2020-01-23 23:59:59,200.0
Jordan 13 Retro Chinese New Year 2020 (PS),2020-01-23 23:59:59,90.0
Jordan 1 Low White Neon (GS),2020-01-23 23:59:59,75.0
Jordan 6 Rings Defining Moments,2020-01-23 23:59:59,170.0
adidas Type 01 OAMC Camel,2020-01-23 23:59:59,280.0
adidas Type 02 OAMC Off-White,2020-01-23 23:59:59,250.0
adidas Type 02 OAMC Grey,2020-01-23 23:59:59,250.0
adidas Advantage Pikachu (GS),2020-01-23 23:59:59,50.0
Converse Chuck Taylor All-Star 70s Hi Breaking Down Barriers Capitols,2020-01-23 23:59:59,90.0
Converse Pro Leather Breaking Down Barriers Knicks,2020-01-23 23:59:59,80.0
Converse Chuck Taylor All-Star 70s Hi Breaking Down Barriers Celtics,2020-01-23 23:59:59,90.0
Converse Chuck Taylor All-Star 70s Hi Breaking Down Barriers Knicks,2020-01-23 23:59:59,90.0
Converse Pro Leather Breaking Down Barriers Celtics,2020-01-23 23:59:59,80.0
Converse Pro Leather Breaking Down Barriers Pistons,2020-01-23 23:59:59,80.0
Jordan 4 Retro Black Cat (2020),2020-01-22 23:59:59,190.0
"Air Max 1 DNA CH.1 Pack ""Huarache"" Green Royal",2020-01-22 23:59:59,130.0
"Air Huarache Run DNA CH.1 Pack ""Air Max 1"" Red",2020-01-22 23:59:59,110.0
Jordan 4 Retro Black Cat 2020 (TD),2020-01-22 23:59:59,60.0
Jordan 4 Retro Black Cat 2020 (GS),2020-01-22 23:59:59,140.0
Jordan 4 Retro Black Cat 2020 (PS),2020-01-22 23:59:59,80.0
Vans Mod Slip-On Black,2020-01-22 23:59:59,120.0
